Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 148912;CIE 00203;ET1 AS 1.0273;ET2 AS 1.0273;;;;;;;;CII 0451 bis a;;;;;;
TM 148913;CIE 00204;ET1 AS 1.0274;ET2 AS 1.0274;;;;;;;;CII 0439 ter;;;;;;
TM 148926;CIE 00205;ET1 AS 1.0287;ET2 AS 1.0287;;;;;;;;CII 0440 ter a;;;;;;
TM 148927;CIE 00206;ET1 AS 1.0288;ET2 AS 1.0288;;;;;;;;CII 0440 ter b;;;;;;
TM 148928;CIE 00207;ET1 AS 1.0289;ET2 AS 1.0289;;;;;;;;CII 0440 ter d;;;;;;
TM 148929;CIE 00208;ET1 AS 1.0290;ET2 AS 1.0290;;;;;;;;CII 0440 ter g;;;;;;
TM 148930;CIE 00209;ET1 AS 1.0291;ET2 AS 1.0291;;;;;;;;CII 0440 ter f;;;;;;
TM 148931;CIE 00210;ET1 AS 1.0292;ET2 AS 1.0292;;;;;;;;;;;;;;
TM 148932;CIE 00211;ET1 AS 1.0293;ET2 AS 1.0293;;;;;;;;CII 0440 ter e;;;;;;
TM 148933;CIE 00212;ET1 AS 1.0294;ET2 AS 1.0294;;;;;;;;CII 0440 ter c;;;;;;
TM 148910;CIE 00213;ET1 AS 1.0271;ET2 AS 1.0271;;;;;;;;CII 0440 quater a;;;;;;
TM 148471;CIE 00214;ET1 Vt 1.0059;ET2 Vt 1.0059;;;;;;;;CII 0452;;;;;;
TM 148472;CIE 00215;ET1 Vt 1.0060;ET2 Vt 1.0060;;;;;;;;CII 0453;;;;;;
TM 148648;CIE 00216;ET1 AS 1.0009;ET2 AS 1.0009;TLE 0431;;;;;;;CII 0367;;;;;;
TM 148649;CIE 00217;ET1 AS 1.0010;ET2 AS 1.0010;;;;;;;;CII 0391;;;;;;
TM 148650;CIE 00218;ET1 AS 1.0011;ET2 AS 1.0011;;;;;;;;CII 0381;;;;;;
TM 148651;CIE 00219;ET1 AS 1.0012;ET2 AS 1.0012;;;;;;;;CII 0380;;;;;;
TM 148652;CIE 00220;ET1 AS 1.0013;ET2 AS 1.0013;;;;;;;;CII 0397;;;;;;
TM 148653;CIE 00221;ET1 AS 1.0014;ET2 AS 1.0014;;;;;;;;CII 0383;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148653;CIE 00221;ET1 AS 1.0014;ET2 AS 1.0014;;;;;;;;CII 0400;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148654;CIE 00222;ET1 AS 1.0015;ET2 AS 1.0015;;;;;;;;CII 0375;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148654;CIE 00222;ET1 AS 1.0015;ET2 AS 1.0015;;;;;;;;CII 0376;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2 [2]. CII [2]. (3);;;
TM 148655;CIE 00223;ET1 AS 1.0016;ET2 AS 1.0016;;;;;;;;CII 0374;;;Multiple references. Common denominator: Trismegistos. ET1. ET2 [4]. CIE [2]. CII [2]. (4);;;
TM 148655;CIE 00223;ET1 AS 1.0016;ET2 AS 1.0016;;;;;;;;CII 0944 bis b;;;Multiple references. Common denominator: Trismegistos. ET1. ET2 [4]. CIE [2]. CII [2]. (4);;;
TM 148656;CIE 00224;ET1 AS 1.0017;ET2 AS 1.0017;;;;;;;;CII 0372;;;;;;
TM 148657;CIE 00225;ET1 AS 1.0018;ET2 AS 1.0018;;;;;;;;CII 0394;;;;;;
TM 148658;CIE 00226;ET1 AS 1.0019;ET2 AS 1.0019;;;;;;;;CII 0388;;;;;;
TM 148659;CIE 00227;ET1 AS 1.0020;ET2 AS 1.0020;;;;;;;;CII 0392;;;;;;
TM 148660;CIE 00228;ET1 AS 1.0021;ET2 AS 1.0021;;;;;;;;CII 0385;;;;;;
TM 148661;CIE 00229;ET1 AS 1.0022;ET2 AS 1.0022;;;;;;;;CII 0379;;;;;;
TM 148662;CIE 00230;ET1 AS 1.0023;ET2 AS 1.0023;;;;;;;;CII 0373;;;;;;
TM 148663;CIE 00231;ET1 AS 1.0024;ET2 AS 1.0024;;;;;;;;CII 0378;;;;;;
TM 148664;CIE 00232;ET1 AS 1.0025;ET2 AS 1.0025;;;;;;;;CII 0368;;;;;;
TM 148665;CIE 00233;ET1 AS 1.0026;ET2 AS 1.0026;;;;;;;;CII 0377;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (3);;;
TM 148666;CIE 00234;ET1 AS 1.0027;ET2 AS 1.0027;;;;;;;;CII 0393;;;;;;
TM 148667;CIE 00235;ET1 AS 1.0028;ET2 AS 1.0028;;;;;;;;CII 0401;;;;;;
TM 148668;CIE 00236;ET1 AS 1.0029;ET2 AS 1.0029;TLE 0434;;;;;;;CII 0369;;;;;;
TM 148669;CIE 00237;ET1 AS 1.0030;ET2 AS 1.0030;;;;;;;;CII 0382;;;;;;
TM 148670;CIE 00238;ET1 AS 1.0031;ET2 AS 1.0031;;;;;;;;CII 0389;;;;;;
TM 148671;CIE 00239;ET1 AS 1.0032;ET2 AS 1.0032;;;;;;;;CII 0386;;;;;;
TM 148672;CIE 00240;ET1 AS 1.0033;ET2 AS 1.0033;;;;;;;;CII 0387;;;;;;
TM 148673;CIE 00241;ET1 AS 1.0034;ET2 AS 1.0034;;;;;;;;CII 0376;;;Multiple references. Common denominator: TLE. (2);;;
TM 148674;CIE 00242;ET1 AS 1.0035;ET2 AS 1.0035;;;;;;;;CII 0399;;;;;;
TM 148675;CIE 00243;ET1 AS 1.0036;ET2 AS 1.0036;;;;;;;;CII 0390;;;;;;
TM 148676;CIE 00244;ET1 AS 1.0037;ET2 AS 1.0037;;;;;;;;CII 0395;;;;;;
TM 148677;CIE 00245;ET1 AS 1.0038;ET2 AS 1.0038;;;;;;;;CII 0371;;;;;;
TM 148678;CIE 00246;ET1 AS 1.0039;ET2 AS 1.0039;;;;;;;;CII 0384;;;;;;
TM 148689;CIE 00247;ET1 AS 1.0050;ET2 AS 1.0050;;;;;;;;CII 0439;;;;;;
TM 148690;CIE 00248;ET1 AS 1.0051;ET2 AS 1.0051;;;;;;;;CII 0438;;;;;;
TM 148691;CIE 00249;ET1 AS 1.0052;ET2 AS 1.0052;;;;;;;;;;CII App. 0081;;;;
TM 148693;CIE 00250;ET1 AS 1.0054;ET2 AS 1.0054;;;;;;;;CII 0440 bis b;;;;;;
TM 148694;CIE 00251;ET1 AS 1.0055;ET2 AS 1.0055;;;;;;;;CII 0440 bis d;;;;;;
TM 148695;CIE 00252;ET1 AS 1.0056;ET2 AS 1.0056;;;;;;;;CII 0440 bis e;;;;;;
TM 148696;CIE 00253;ET1 AS 1.0057;ET2 AS 1.0057;;;;;;;;CII 0440 bis g;;;;;;
TM 148697;CIE 00254;ET1 AS 1.0058;ET2 AS 1.0058;;;;;;;;CII 0440 bis c;;;;;;
TM 148698;CIE 00255;ET1 AS 1.0059;ET2 AS 1.0059;;;;;;;;CII 0440 bis a;;;;;;
TM 148699;CIE 00256;ET1 AS 1.0060;ET2 AS 1.0060;;;;;;;;CII 0440 bis f;;;;;;
TM 148700;CIE 00257;ET1 AS 1.0061;ET2 AS 1.0061;;;;;;;;;;CII App. 0085;;;;
TM 148701;CIE 00258;ET1 AS 1.0062;ET2 AS 1.0062;;;;;;;;;;CII App. 0080;;;;
TM 148692;CIE 00259;ET1 AS 1.0053;ET2 AS 1.0053;;;;;;;;;;CII App. 0079;;;;
TM 148831;CIE 00260;ET1 AS 1.0192;ET2 AS 1.0192;;;;;;;;CII 0440;;;Multiple references. Common denominator: Trismegistos. CIE. CII. TLE. (3);;;
TM 148831;CIE 00260;ET1 AS 1.0193;ET2 AS 1.0193;;;;;;;;CII 0440;;;Multiple references. Common denominator: Trismegistos. CIE. CII. TLE. (3);;;
TM 148831;CIE 00260;ET1 AS 1.0194;ET2 AS 1.0194;;;;;;;;CII 0440;;;Multiple references. Common denominator: Trismegistos. CIE. CII. TLE. (3);;;
TM 148850;CIE 00261;ET1 AS 1.0211;ET2 AS 1.0211;TLE 0439;;;;;;;CII 0440 quater b;;;;;;
TM 148851;CIE 00262;ET1 AS 1.0212;ET2 AS 1.0212;TLE 0440;;;;;;;CII 0440 quater c;;;;;;
TM 148495;CIE 00263;ET1 Vt 1.0083;ET2 Vt 1.0083;TLE 0412;;;;;;;CII 0435 ter c;;;;;;
TM 148496;CIE 00264;ET1 Vt 1.0084;ET2 Vt 1.0084;TLE 0413;;;;;;;CII 0435 ter d;;;;;;
TM 148957;CIE 00265;ET1 AS 1.0318;ET2 AS 1.0318;;;;;;;;CII 0404;;;;;;
TM 148958;CIE 00266;ET1 AS 1.0319;ET2 AS 1.0319;;;;;;;;CII 0413;;;;;;
TM 148959;CIE 00267;ET1 AS 1.0320;ET2 AS 1.0320;TLE 0454;;;;;;;CII 0895;;;;;;
TM 148960;CIE 00268;ET1 AS 1.0321;ET2 AS 1.0321;;;;;;;;CII 0408;;;;;;
TM 148961;CIE 00269;ET1 AS 1.0322;ET2 AS 1.0322;;;;;;;;CII 0409;;;;;;
TM 148962;CIE 00270;ET1 AS 1.0323;ET2 AS 1.0323;;;;;;;;CII 0410;;;;;;
TM 148963;CIE 00271;ET1 AS 1.0324;ET2 AS 1.0324;;;;;;;;CII 0412;;;;;;
TM 148964;CIE 00272;ET1 AS 1.0325;ET2 AS 1.0325;TLE 0455;;;;;;CIL XI.2357;CII 0253;;;;;;
TM 148965;CIE 00273;ET1 AS 1.0326;ET2 AS 1.0326;;;;;;;;CII 0402;;;;;;
TM 148966;CIE 00274;ET1 AS 1.0327;ET2 AS 1.0327;;;;;;;;CII 0403;;;;;;
TM 148967;CIE 00275;ET1 AS 1.0328;ET2 AS 1.0328;;;;;;;;CII 0405;;;;;;
TM 148968;CIE 00276;ET1 AS 1.0329;ET2 AS 1.0329;;;;;;;;CII 0411;;;;;;
TM 148969;CIE 00277;ET1 AS 1.0330;ET2 AS 1.0330;;;;;;;;CII 0407;;;;;;
TM 148970;CIE 00278;ET1 AS 1.0331;ET2 AS 1.0331;;;;;;;;CII 0406;;;;;;
TM 148473;CIE 00279;ET1 Vt 1.0061;ET2 Vt 1.0061;;;;;;;;CII 0457;;;;;;
TM 148476;CIE 00280;ET1 Vt 1.0064;ET2 Vt 1.0064;;;;;;;;CII 0454;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148474;CIE 00281;ET1 Vt 1.0062;ET2 Vt 1.0062;;;;;;;;CII 0456;;;Multiple references. Common denominator: CII. (2);;;
TM 148475;CIE 00282;ET1 Vt 1.0063;ET2 Vt 1.0063;;;;;;;;CII 0455;;;Multiple references. Common denominator: Trismegistos. CIE. ET [2]. CII [2]. (3);;;
TM 148475;CIE 00282;ET1 Vt 1.0063;ET2 Vt 1.0063;;;;;;;;CII 0456;;;Multiple references. Common denominator: Trismegistos. CIE. ET [2]. CII [2]. (3);;;
TM 148476;CIE 00283;ET1 Vt 1.0064;ET2 Vt 1.0064;;;;;;;;CII 0458;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 149107;CIE 00284;ET1 AS 1.0468;ET2 AS 1.0468;;;;;;;;CII 0451 bis b;;;;;;
TM 150870;CIE 00285;ET1 Cl 1.1699;ET2 Cl 1.1699;;;;;;;;CII 0448;;;;;;
TM 149116;CIE 00286;ET1 AS 1.0477;ET2 AS 1.0477;;;;;;;;CII 0432;;;;;;
TM 149117;CIE 00287;ET1 AS 1.0478;ET2 AS 1.0478;;;;;;;;CII 0433;;;;;;
TM 148644;CIE 00288;ET1 AS 1.0005;ET2 AS 1.0005;;;;;;;;CII 0433 bis;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148644;CIE 00288;ET1 AS 1.0005;ET2 AS 1.0005;;;;;;;;CII 0434;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 149023;CIE 00289;ET1 AS 1.0384;ET2 AS 1.0384;;;;;;;;CII 0214;;;;;;
TM 149127;CIE 00290;ET1 AS 1.0488;ET2 AS 1.0488;;;;;;;;;;;;;;
TM 149128;CIE 00291;ET1 AS 1.0489;ET2 AS 1.0489;;;;;;;;CII 2565 ter;;;;;;
TM 148643;CIE 00292;ET1 AS 1.0004;ET2 AS 1.0004;;;;;;;;CII 0441;;;;;;
TM 149137;CIE 00293;ET1 AS 1.0498;ET2 AS 1.0498;;;;;;;;CII 0435;;;;;;
TM 174640;CIE 00294;ET1 Cl 1.1160;ET2 AS 1.0513;;;;;;;;;;;;;;
TM 174641;CIE 00295;ET1 Cl 1.1161;ET2 AS 1.0514;;;;;;;;;;;;;;
TM 174642;CIE 00296;ET1 Cl 1.1162;ET2 AS 1.0515;;;;;;;;;;;;;;
TM 148685;CIE 00297;ET1 AS 1.0046;ET2 AS 1.0046;;;;;;;;;;CII App. 0082;;;;
TM 149145;CIE 00298;ET1 AS 1.0506;ET2 AS 1.0506;;;;;;;;CII 0445;;;;;;
TM 148680;CIE 00299;ET1 AS 1.0041;ET2 AS 1.0041;TLE 0432;;;;;;;CII 0443;;;;;;
TM 148679;CIE 00300;ET1 AS 1.0040;ET2 AS 1.0040;TLE 0433;;;;;;;CII 0442;;;;;;
TM 149161;CIE 00301;ET1 AS 3.0003;ET2 AS 3.0003;TLE 0739;;;;;;;CII 0255;;;;;;
TM 145486;CIE 00302;ET1 AS 4.0001;ET2 AS 4.0001;TLE 0734;;;;;;;CII 0267;;;;;;
TM 149163;CIE 00303;ET1 AS 3.0005;ET2 AS 3.0005;TLE 0456;;;;;;;;;CII App. 0087;;;;
TM 145489;CIE 00304;ET1 AS 7.0001;ET2 AS 7.0001;TLE 0730;;;;;;;CII 0259 bis;;;;;;
TM 150360;CIE 00305;ET1 Cl 1.1188;ET2 AS 1.0511;;;;;;;;CII 1004;;;;;;
TM 148852;CIE 00306;ET1 AS 1.0213;ET2 AS 1.0213;;;;;;;;CII 0999;;;;;;
TM 148853;CIE 00307;ET1 AS 1.0214;ET2 AS 1.0214;;;;;;;;CII 1001;;;;;;
TM 148854;CIE 00308;ET1 AS 1.0215;ET2 AS 1.0215;;;;;;;;CII 1002;;;;;;
TM 151110;CIE 00309;ET1 Cl 1.1939;ET2 AS 1.0512;;;;;;;;CII 1005;;;;;;
TM 148855;CIE 00310;ET1 AS 1.0216;ET2 AS 1.0216;;;;;;;;CII 1007;;;;;;
TM 148856;CIE 00311 a;ET1 AS 1.0217;ET2 AS 1.0217;;;;;;;;CII 1006;;;Multiple references. Common denominator: Trismegistos. ET2. CII. (2);;;
TM 148856;CIE 00311 b;ET1 AS 1.0218;ET2 AS 1.0217;;;;;;;;CII 1006;;;Multiple references. Common denominator: Trismegistos. ET2. CII. (2);;;
TM 148905;CIE 00312;ET1 AS 1.0266;ET2 AS 1.0266;TLE 0442;;;;;;;;;CII App. 0900;;;;
TM 148906;CIE 00313;ET1 AS 1.0267;ET2 AS 1.0267;;;;;;;;;;CII App. 0901;;;;
TM 148907;CIE 00314;ET1 AS 1.0268;ET2 AS 1.0268;;;;;;;;;;CII App. 0902;;;;
TM 148908;CIE 00315;ET1 AS 1.0269;ET2 AS 1.0269;TLE 0444;;;;;;;;;CII App. 0903;;;;
TM 148909;CIE 00316;ET1 AS 1.0270;ET2 AS 1.0270;TLE 0443;;;;;;;;;;;;;
TM 148971;CIE 00317;ET1 AS 1.0332;ET2 AS 1.0332;;;;;;;;;;CII App. 0515;;;;
TM 148972;CIE 00318;ET1 AS 1.0333;ET2 AS 1.0333;;;;;;;;;;CII App. 0502;;;;
TM 148973;CIE 00319;ET1 AS 1.0334;ET2 AS 1.0334;;;;;;;;;;CII App. 0509;;;;
TM 148974;CIE 00320;ET1 AS 1.0335;ET2 AS 1.0335;;;;;;;;;;CII App. 0510;;;;
TM 148975;CIE 00321;ET1 AS 1.0336;ET2 AS 1.0336;;;;;;;;;;CII App. 0513;;;;
TM 148976;CIE 00322;ET1 AS 1.0337;ET2 AS 1.0337;;;;;;;;;;CII App. 0514;;;;
TM 148977;CIE 00323;ET1 AS 1.0338;ET2 AS 1.0338;;;;;;;;;;CII App. 0503;;;;
TM 148978;CIE 00324;ET1 AS 1.0339;ET2 AS 1.0339;;;;;;;;;;CII App. 0501;;;;
TM 148979;CIE 00325;ET1 AS 1.0340;ET2 AS 1.0340;;;;;;;;;;CII App. 0512;;;;
TM 148980;CIE 00326;ET1 AS 1.0341;ET2 AS 1.0341;;;;;;;;;;CII App. 0511;;;;
TM 148981;CIE 00327;ET1 AS 1.0342;ET2 AS 1.0342;;;;;;;;;;CII App. 0507;;;;
TM 148982;CIE 00328;ET1 AS 1.0343;ET2 AS 1.0343;;;;;;;;;;CII App. 0508;;;;
TM 148983;CIE 00329;ET1 AS 1.0344;ET2 AS 1.0344;;;;;;;;;;CII App. 0506;;;;
TM 148984;CIE 00330;ET1 AS 1.0345;ET2 AS 1.0345;;;;;;;;;;CII App. 0505;;;;
TM 148985;CIE 00331;ET1 AS 1.0346;ET2 AS 1.0346;;;;;;;;;;CII App. 0500;;;;
TM 148876;CIE 00332;ET1 AS 1.0237;ET2 AS 1.0237;;;;;;;;;;CII App. 0517;Multiple references. Common denominator: Trismegistos. ET1. ET2 [2]. CIE [2]. CII App. [2]. (4);;;
TM 148876;CIE 00332;ET1 AS 1.0237;ET2 AS 1.0237;;;;;;;;;;CII App. 0518;Multiple references. Common denominator: Trismegistos. ET1. ET2 [2]. CIE [2]. CII App. [2]. (4);;;
TM 148986;CIE 00333;ET1 AS 1.0347;ET2 AS 1.0347;;;;;;;;;;CII App. 0516;;;;
TM 148987;CIE 00334;ET1 AS 1.0348;ET2 AS 1.0348;;;;;;;;;;CII App. 0498;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148987;CIE 00335;ET1 AS 1.0348;ET2 AS 1.0348;;;;;;;;;;CII App. 0499;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148988;CIE 00336;ET1 AS 1.0349;ET2 AS 1.0349;;;;;;;;;;CII App. 0504;;;;
TM 148989;CIE 00337;ET1 AS 1.0350;ET2 AS 1.0350;;;;;;;;;;CII App. 0958;;;;
TM 148990;CIE 00338;ET1 AS 1.0351;ET2 AS 1.0351;;;;;;;;;;CII App. 0959;;;;
TM 148991;CIE 00339;ET1 AS 1.0352;ET2 AS 1.0352;;;;;;;;;;CII App. 0520;;;;
TM 148992;CIE 00340;ET1 AS 1.0353;ET2 AS 1.0353;;;;;;;;;;CII App. 0523;;;;
TM 148993;CIE 00341;ET1 AS 1.0354;ET2 AS 1.0354;;;;;;;;;;CII App. 0521;;;;
TM 148994;CIE 00342;ET1 AS 1.0355;ET2 AS 1.0355;;;;;;;;;;CII App. 0525;;;;
TM 148995;CIE 00343;ET1 AS 1.0356;ET2 AS 1.0356;;;;;;;;;;CII App. 0522;;;;
TM 148996;CIE 00344;ET1 AS 1.0357;ET2 AS 1.0357;;;;;;;;;;CII App. 0524;;;;
TM 148864;CIE 00345;ET1 AS 1.0225;ET2 AS 1.0225;;;;;;;;CII 0993;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148864;CIE 00345;ET1 AS 1.0225;ET2 AS 1.0225;;;;;;;;CII 0996;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148865;CIE 00346;ET1 AS 1.0226;ET2 AS 1.0226;;;;;;;;CII 0997;;;;;;
TM 148866;CIE 00347;ET1 AS 1.0227;ET2 AS 1.0227;;;;;;;;CII 0994;;;;;;
TM 148867;CIE 00348;ET1 AS 1.0228;ET2 AS 1.0228;TLE 0448;;;;;;;CII 0995;;;;;;
TM 148868;CIE 00349;ET1 AS 1.0229;ET2 AS 1.0229;;;;;;;;CII 1000;;;;;;
TM 148869;CIE 00350;ET1 AS 1.0230;ET2 AS 1.0230;;;;;;;;CII 0998;;;;;;
TM 148870;CIE 00351;ET1 AS 1.0231;ET2 AS 1.0231;;;;;;;;;;;;;;
TM 148871;CIE 00352;ET1 AS 1.0232;ET2 AS 1.0232;;;;;;;;;;;;;;
TM 148887;CIE 00353;ET1 AS 1.0248;ET2 AS 1.0248;;;;;;;;;;;;;;
TM 148888;CIE 00354;ET1 AS 1.0249;ET2 AS 1.0249;;;;;;;;;;;;;;
TM 148889;CIE 00355;ET1 AS 1.0250;ET2 AS 1.0250;;;;;;;;;;;;;;
TM 148890;CIE 00356;ET1 AS 1.0251;ET2 AS 1.0251;;;;;;;;;;;;;;
TM 148891;CIE 00357;ET1 AS 1.0252;ET2 AS 1.0252;;;;;;;;;;;;;;
TM 148893;CIE 00358;ET1 AS 1.0254;ET2 AS 1.0254;;;;;;;;;;;;;;
TM 148894;CIE 00359;ET1 AS 1.0255;ET2 AS 1.0255;;;;;;;;;;;;;;
TM 148895;CIE 00360;ET1 AS 1.0256;ET2 AS 1.0256;;;;;;;;;;;;;;
TM 148876;CIE 00361;ET1 AS 1.0237;ET2 AS 1.0237;;;;;;;;;;CII App. 0517;Multiple references. Common denominator: Trismegistos. ET1. ET2 [2]. CIE [2]. CII App. [2]. (4);;;
TM 148876;CIE 00361;ET1 AS 1.0237;ET2 AS 1.0237;;;;;;;;;;CII App. 0518;Multiple references. Common denominator: Trismegistos. ET1. ET2 [2]. CIE [2]. CII App. [2]. (4);;;
TM 148877;CIE 00362;ET1 AS 1.0238;ET2 AS 1.0238;;;;;;;;CII 0998 bis c;;;;;;
TM 148878;CIE 00363;ET1 AS 1.0239;ET2 AS 1.0239;;;;;;;;CII 0998 bis a;;;;;;
TM 148879;CIE 00364 a;ET1 AS 1.0240;ET2 AS 1.0240;;;;;;;;CII 0998 bis b;;;Multiple references. Common denominator: Trismegistos. CIE. CII. (2);;;v 1.0.2: corrected formatting of CIE reference.
TM 148879;CIE 00364 b;ET1 AS 1.0241;ET2 AS 1.0241;;;;;;;;CII 0998 bis b;;;Multiple references. Common denominator: Trismegistos. CIE. CII. (2);;;v 1.0.2: corrected formatting of CIE reference.
TM 148881;CIE 00365;ET1 AS 1.0242;ET2 AS 1.0242;;;;;;;;CII 0998 bis d;;;;;;
TM 148882;CIE 00366 +add;ET1 AS 1.0243;ET2 AS 1.0243;;;;;;;;;;CII App. 0519;;;;
TM 148883;CIE 00367;ET1 AS 1.0244;ET2 AS 1.0244;;;;;;;;;;;;;;
TM 148884;CIE 00368 +add;ET1 AS 1.0245;ET2 AS 1.0245;;;;;;;;;;;;;;
TM 148885;CIE 00369;ET1 AS 1.0246;ET2 AS 1.0246;;;;;;;;;;;;;;
TM 149170;CIE 00370;ET1 AS 0.0003;ET2 AS 0.0003;TLE 0453;;;;;;;CII 1009;;;;;;
TM 153549;CIE 00371;ET1 Ar 4.0003;ET2 Ar 4.0003;TLE 0657;;;;;;;;;CII App. 0088;;;;
TM 153453;CIE 00372;ET1 Ar 1.0006;ET2 Ar 1.0006;TLE 0659;;;;;;;;;CII App. 0097;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII App. (2);;;
TM 153453;CIE 00373;ET1 Ar 1.0006;ET2 Ar 1.0006;;;;;;;;;;CII App. 0097;Multiple references. Common denominator: Trismegistos. ET1. ET2. CII App. (2);;;
TM 153454;CIE 00374;ET1 Ar 1.0007;ET2 Ar 1.0007;;;;;;;;;;CII App. 0089;;;;
TM 153449;CIE 00375;ET1 Ar 1.0002;ET2 Ar 1.0002;;;;;;;;;;CII App. 0095;;;;
TM 145525;CIE 00376;ET1 Ar 1.0001;ET2 Ar 1.0001;TLE 0664;;;;;;;;;CII App. 0091;;;;
TM 153547;CIE 00377;ET1 Ar 3.0002;ET2 Ar 3.0002;TLE 0663;;;;;;;CII 0468;;;;;;
TM 153455;CIE 00378;ET1 Ar 1.0008;ET2 Ar 1.0008;TLE 0661;;;;;;CIL XI.1855;CII 0460;;;;;CIL XI Burman;
TM 153457;CIE 00379;ET1 Ar 1.0010;ET2 Ar 1.0010;TLE 0660;;;;;;;;;CII App. 0096;;;;
TM 145528;CIE 00380;ET1 Ar 4.0001;ET2 Ar 4.0001;TLE 0668;;;;;;;CII 2608 bis;;;;;;
TM 147107;CIE 00381;ET1 AH 1.0037;ET2 AT 1.0224;;;;;;;;CII 0463;;;;;;
TM 153537;CIE 00382;ET1 Ar 1.0090;ET2 Ar 1.0090;;;;;;;;CII 0464;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 153459;CIE 00383;ET1 Ar 1.0012;ET2 Ar 1.0012;TLE 0669;;;;;;;CII 0467 ter;;;;;;
TM 153461;CIE 00384;ET1 Ar 1.0014;ET2 Ar 1.0014;;;;;;;;CII 0465;;;;;;
TM 153462;CIE 00385;ET1 Ar 1.0015;ET2 Ar 1.0015;;;;;;;;CII 0465 bis a;;;;;;
TM 153463;CIE 00386;ET1 Ar 1.0016;ET2 Ar 1.0016;;;;;;;;CII 0465 bis c;;;;;;
TM 153464;CIE 00387;ET1 Ar 1.0017;ET2 Ar 1.0017;TLE 0671;;;;;;;CII 0467;;;;;;
TM 153465;CIE 00388;ET1 Ar 1.0018;ET2 Ar 1.0018;TLE 0672;;;;;;;;;CII App. 0104;;;;
TM 153467;CIE 00389;ET1 Ar 1.0020;ET2 Ar 1.0020;;;;;;;;;;CII App. 0101;;;;
TM 153466;CIE 00390 +add;ET1 Ar 1.0019;ET2 Ar 1.0019;;;;;;;;;;CII App. 0102;;;;
TM 153468;CIE 00391;ET1 Ar 1.0021;ET2 Ar 1.0021;;;;;;;;;;CII App. 0103;;;;
TM 153470;CIE 00392;ET1 Ar 1.0023;ET2 Ar 1.0023;;;;;;;;CII 0475 a;;;;;;
;CIE 00393;;;;;;;;;;CII 0475 b;;;;Considered a forgery (see CIE 00395).;;
TM 486898;CIE 00394;;;;;;;CIL III.0278*;;;CII 0475 c;;;;"Considered a forgery (see CIE; CIL III).";;
;CIE 00395;;;;;;;;;;CII 0475 d;;;;Considered a forgery (see CIE).;;
TM 153489;CIE 00396;ET1 Ar 1.0042;ET2 Ar 1.0042;;;;;;;;CII 0472;;;;;;
TM 153490;CIE 00397;ET1 Ar 1.0043;ET2 Ar 1.0043;;;;;;;;CII 0473;;;;;;
TM 153491;CIE 00398;ET1 Ar 1.0044;ET2 Ar 1.0044;;;;;;;;CII 0474;;;;;;
TM 153493;CIE 00399;ET1 Ar 1.0046;ET2 Ar 1.0046;;;;;;;;CII 0462 bis;;;;;;
TM 153492;CIE 00400;ET1 Ar 1.0045;ET2 Ar 1.0045;;;;;;;;;;;;;;
TM 153494;CIE 00401;ET1 Ar 1.0047;ET2 Ar 1.0047;;;;;;;;;;CII App. 0098;;;;
TM 153495;CIE 00402;ET1 Ar 1.0048;ET2 Ar 1.0048;;;;;;;;;;CII App. 0099;;;;
TM 153496;CIE 00403;ET1 Ar 1.0049;ET2 Ar 1.0049;;;;;;;;;;CII App. 0100;;;;
TM 153497;CIE 00404;ET1 Ar 1.0050;ET2 Ar 1.0050;;;;;;;;;;CII App. 0090;;;;
TM 153498;CIE 00405;ET1 Ar 1.0051;ET2 Ar 1.0051;;;;;;;;;;CII App. 0551;;;;
TM 153500;CIE 00406;ET1 Ar 1.0053;ET2 Ar 1.0053;;;;;;;;;;CII App. 0542;;;;
TM 153501;CIE 00407;ET1 Ar 1.0054;ET2 Ar 1.0054;;;;;;;;;;CII App. 0543;;;;
TM 153502;CIE 00408;ET1 Ar 1.0055;ET2 Ar 1.0055;TLE 0674;;;;;;;;;CII App. 0544;;;;
TM 153503;CIE 00409;ET1 Ar 1.0056;ET2 Ar 1.0056;;;;;;;;;;CII App. 0548;;;;
