Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 148528;CIE 00142 a;ET1 Vt 1.0116;ET2 Vt 1.0116;TLE 0395 a;;;;;;;CII 0348 bis a;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 148528;CIE 00142 b;ET1 Vt 1.0117;ET2 Vt 1.0117;TLE 0395 b;;;;;;;CII 0348 bis b;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 148510;CIE 00143;ET1 Vt 1.0098;ET2 Vt 1.0098;TLE 0396;;;;;;;CII 0364 bis i;;;;;;
;CIE 00144;;;TLE 0390;;;;;;;CII 0344;;;;Considered a forgery (See E. Benelli. Thesaurus Linguae Etruscae. 2009. p. 567). Pauli describes being mystified by the reading of the inscription but does not call it a forgery.;;
TM 148546;CIE 00145;ET1 Vt 1.0134;ET2 Vt 1.0134;;;;;;;;;;;;;;
TM 148543;CIE 00146;ET1 Vt 1.0131;ET2 Vt 1.0131;;;;;;;;CII 0362;;;;;;
TM 148622;CIE 00147 +add;ET1 Vt 8.0002;ET2 Vt 8.0002;TLE 0404;;;;;;;CII 0347 bis;;;;;;
TM 148636;CIE 00148;ET1 Vt 0.0015;ET2 Vt 0.0015;;;;;;;;CII 0364 ter;;;;;;
TM 248743;CIE 00149;;;;;;;;;CIL XI.1758;;;;;;;
TM 148506;CIE 00150;ET1 Vt 1.0094;ET2 Vt 1.0094;;;;;;;;CII 0320 bis c;;;;;;
TM 148507;CIE 00151;ET1 Vt 1.0095;ET2 Vt 1.0095;;;;;;;;CII 2558;;;;;;
TM 248837;CIE 00152;;;;;;;;;CIL XI.1761;;;;;;;
TM 148418;CIE 00153;ET1 Vt 1.0006;ET2 Vt 1.0006;;;;;;;;;CII Suppl. III.0078;;;;;
TM 248767;CIE 00154;;;;;;CIL I(2).3367a;;;CIL XI.7069;;;;;;;
TM 148444;CIE 00155;ET1 Vt 1.0032;ET2 Vt 1.0032;;;;;;;;CII 0325 bis f;;;;;;
TM 148509;CIE 00156;ET1 Vt 1.0097;ET2 Vt 1.0097;;;;;;;;CII 0325;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148509;CIE 00157;ET1 Vt 1.0097;ET2 Vt 1.0097;;;;;;;;CII 0323;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148526;CIE 00158;ET1 Vt 1.0114;ET2 Vt 1.0114;TLE 0391;;;;;;;;;CII App. 0914;;;;
TM 148538;CIE 00159;ET1 Vt 1.0126;ET2 Vt 1.0126;;;;;;;;CII 2564 bis;;;;;;
TM 149136;CIE 00160;ET1 AS 1.0497;ET2 AS 1.0497;;;;;;;;CII 0234;;;;;;
TM 148548;CIE 00161;ET1 Vt 1.0136;ET2 Vt 1.0136;;;;;;;;CII 0335;CII Suppl. II.0123;;;;;
TM 148570;CIE 00162;ET1 Vt 1.0158;ET2 Cl 1.2824;;;;;;;;CII 0341 bis;;;;;;
TM 148573;CIE 00163;ET1 Vt 1.0161;ET2 Vt 1.0161;;;;;;;;;;;;;;
TM 148440;CIE 00164;ET1 Vt 1.0028;ET2 Vt 1.0028;;;;;;;;;;;;;;
TM 148586;CIE 00165;ET1 Vt 1.0174;ET2 Vt 1.0174;;;;;;;;CII 0364 bis h;;;;;;
TM 148585;CIE 00166;ET1 Vt 1.0173;ET2 Vt 1.0173;;;;;;;;;;;;;;
TM 249166;CIE 00167;;;;;;;;;CIL XI.1795;;;;;;;
TM 153567;CIE 00168;ET1 Fs 1.0005;ET2 Fs 1.0005;;;;;;;;CII 0277;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
;CIE 00169;;;;;;;;;;CII 0318;;;;Considered a forgery (see CIE).;;
;CIE 00170;;;;;;;;;;CII 0366 bis a;;;;Considered spurious (see CIE).;;
;CIE 00171;;;;;;;;;;CII 0366 bis b;;;;Considered a forgery (see CIE).;;
;CIE 00172;;;;;;;;;;CII 0364 bis m;;;;Considered suspect (see CIE). ;;
TM 145483;CIE 00173;ET1 AS 1.0001;ET2 AS 1.0001;;;;;;;;CII 0435 ter b;;;;;;
TM 148641;CIE 00174;ET1 AS 1.0002;ET2 AS 1.0002;;;;;;;;CII 0435 bis;;;;;;
TM 148642;CIE 00175;ET1 AS 1.0003;ET2 AS 1.0003;;;;;;;;CII 0435 ter a;;;;;;
TM 148487;CIE 00176 a;ET1 Vt 0.0001;ET2 Vt 3.0004;TLE 0422;;;;;;;CII 0449;;;Multiple references. Common denominator: Trismegistos. (3);;;
TM 148487;CIE 00176 b +add;ET1 Vt 9.0001;ET2 Vt 9.0001;TLE 0423;;;;;;;CII 0450;;;Multiple references. Common denominator: Trismegistos. (3);;;
TM 148487;CIE 00176 c +add;ET1 Vt 1.0075;ET2 Vt 1.0075;TLE 0424;;;;;;;CII 0451;;;Multiple references. Common denominator: Trismegistos. (3);;;
TM 148485;CIE 00177;ET1 Vt 1.0073;ET2 Vt 1.0073;TLE 0414;;;;;;;CII 0451 bis c;;;;;;
TM 148934;CIE 00178;ET1 AS 1.0295;ET2 AS 1.0295;;;;;;;;CII 0422 a;;;;;;
TM 148935;CIE 00179;ET1 AS 1.0296;ET2 AS 1.0296;;;;;;;;CII 0422 b;;;;;;
TM 148936;CIE 00180;ET1 AS 1.0297;ET2 AS 1.0297;;;;;;;;CII 0429 bis c;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148936;CIE 00180;ET1 AS 1.0297;ET2 AS 1.0297;;;;;;;;CII 1008;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148937;CIE 00181;ET1 AS 1.0298;ET2 AS 1.0298;TLE 0418;;;;;;;CII 0427;;;;;;
TM 148938;CIE 00182;ET1 AS 1.0299;ET2 AS 1.0299;;;;;;;;CII 0420;;;;;;
TM 148939;CIE 00183;ET1 AS 1.0300;ET2 AS 1.0300;;;;;;;;CII 0418;;;;;;
TM 148940;CIE 00184;ET1 AS 1.0301;ET2 AS 1.0301;;;;;;;;CII 0419;;;;;;
TM 148941;CIE 00185;ET1 AS 1.0302;ET2 AS 1.0302;;;;;;;;CII 0415;;;;;;
TM 148942;CIE 00186;ET1 AS 1.0303;ET2 AS 1.0303;;;;;;;;CII 0436 bis;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148942;CIE 00187;ET1 AS 1.0303;ET2 AS 1.0303;;;;;;;;CII 0423;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 148943;CIE 00188;ET1 AS 1.0304;ET2 AS 1.0304;;;;;;;;CII 0426;;;;;;
TM 148944;CIE 00189;ET1 AS 1.0305;ET2 AS 1.0305;;;;;;;;CII 0240;;;;;;
TM 148945;CIE 00190;ET1 AS 1.0306;ET2 AS 1.0306;;;;;;;;CII 0416;;;;;;
TM 148946;CIE 00191;ET1 AS 1.0307;ET2 AS 1.0307;TLE 0417;;;;;;;CII 0241;;;;;;
TM 148947;CIE 00192;ET1 AS 1.0308;ET2 AS 1.0308;;;;;;;;CII 0271;;;;;;
TM 148948;CIE 00193;ET1 AS 1.0309;ET2 AS 1.0309;TLE 0416;;;;;;;CII 0421;;;;;;
TM 148949;CIE 00194;ET1 AS 1.0310;ET2 AS 1.0310;;;;;;;;CII 0414;;;;;;
TM 148950;CIE 00195;ET1 AS 1.0311;ET2 AS 1.0311;TLE 0420;;;;;;;CII 0429 bis a;;;;;;
TM 148951;CIE 00196;ET1 AS 1.0312;ET2 AS 1.0312;;;;;;;;CII 0424;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148951;CIE 00196;ET1 AS 1.0312;ET2 AS 1.0312;;;;;;;;CII 0869;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 148952;CIE 00197;ET1 AS 1.0313;ET2 AS 1.0313;;;;;;;;CII 0425;;;;;;
TM 148953;CIE 00198;ET1 AS 1.0314;ET2 AS 1.0314;TLE 0419;;;;;;;CII 0428;;;;;;
TM 148954;CIE 00199;ET1 AS 1.0315;ET2 AS 1.0315;;;;;;;;CII 0417;CII Suppl. I.0298;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. CII Suppl. (2);;;
TM 148954;CIE 00199;ET1 AS 1.0315;ET2 AS 1.0315;;;;;;;;CII 2569 quater;CII Suppl. I.0298;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. CII Suppl. (2);;;
TM 148955;CIE 00200;ET1 AS 1.0316;ET2 AS 1.0316;;;;;;;;CII 0429;;;;;;
TM 148956;CIE 00201;ET1 AS 1.0317;ET2 AS 1.0317;;;;;;;;CII 0231;;;;;;
TM 148911;CIE 00202;ET1 AS 1.0272;ET2 AS 1.0272;TLE 0415;;;;;;;CII 0439 bis;;CII App. 0083–CII App. 0084;Multiple references. Common denominator: CII App. (2);;;
