entry,text,flags,shared_with_ciep,containment
2099,vel > pumpu - velχ ias >,,0,
2100,sana • pumpu i • velχ • cumnis- -a,,1,0.88
2101,velia . velχ i • <h> e<l> 1 a<l> l/,,0,
2102,sana . vel<χ>ia [t a]<r>neal -,ocr?,0,
2103,θania . velχai . sv[e]inal . unatasa,ocr-fixed ocr?,1,1.00
2104,vel • velχ[n]a - cainal -,,0,
2105,velχrei - sepiesa,ocr?,0,
2106,as • velcsna . luχrias,,0,
2110,θania i veleθnei > ucursa,,0,
2111,velθnei < latinis . pricesla,ocr?,0,
2112,arnθ > velθur t faplni-,ocr-fixed ocr?,0,
2113,arn<θa>l t velfurs - puia,ocr?,0,
2114,vip i - velθ<u>- -rs,,1,
2115,larθ veθura,,1,1.00
2116,lθ - velθ- -uru . aclnal,ocr-fixed,0,
2117,larθi • velθj- -ru<i>,,0,
2118,velicu,,1,1.00
2119,larθi • velia .,ocr-fixed,0,
2120,lautna . velia peθia,ocr-fixed,1,1.00
2121,larθi • velim- -ne,ocr-fixed ocr?,0,
2122,larθi • ve[l]nei . cve<r>fesa,ocr-fixed ocr?,0,
2123,au . vels- -cu - zuχu fvsntia,ocr?,1,0.70
2124,fasti - vescnei <,,0,
2125,arnθ > vels i - tutnal,ocr-fixed,1,1.00
2286,fufle >,,1,
2287,ar . herine . vipinal . fup,,0,
2288,vl • herine • ae • pumpual,,0,
2289,ha . pumpui . herinisa,,0,
2290,lθ . herini > clauce . caunu/,,0,
2291,ram3a [. um]<rini> . <her>inisa,ocr?,0,
2292,larθ • marinace . herinal,,0,
2293,aule . herine . petrual,,0,
2294,<v>el <he>rin<e> petrua<l>,,1,0.81
2295,vel t herine . petrual i,,0,
2296,<v>el <he>rin<e> petrual,,1,0.67
2297,fa . petrui ferinisa,ocr?,1,1.00
2298,larθ • herin<e> . uχu . larθal • ca<i>nal,ocr-fixed,1,
2299,[ha]s<ti>a . her<in> [---] [---] >apa/,,1,0.79
2300,larθi - herini <- aninal,,0,
2301,qa . he . pu,,1,0.33
